,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion
18848,3,547.86,0,1,2,1,3,1,0
54487,6,171.21,0,1,2,0,1,-1,0
3256,4,588.45,0,1,3,1,1,-1,0
24315,9,29.99,1,0,1,1,2,-1,0
21260,1,55.51,1,0,1,0,1,1,0
12507,2,258.63,1,0,2,1,3,0,0
57274,10,29.99,0,1,2,0,1,-1,0
33634,5,357.55,1,0,2,0,2,0,0
6632,9,129.57,1,0,3,1,2,1,0
63676,1,29.99,1,0,3,1,1,0,0
21015,9,104.84,0,1,2,0,1,-1,1
11416,10,146.85,1,0,1,1,1,1,0
40121,7,609.83,0,1,2,1,3,0,0
2986,5,163.64,0,1,1,1,2,-1,0
50326,11,98.07,1,0,1,1,2,1,0
40914,6,182.62,1,0,2,1,1,0,0
61255,5,54.85,1,0,2,1,1,0,0
29266,6,309.53,1,1,2,0,2,0,1
18536,3,29.99,0,1,2,0,2,0,0
7166,4,391.95,1,0,1,0,1,1,1
36118,1,260.39,1,1,2,0,2,0,1
32676,7,67.52,0,1,3,0,1,0,0
11133,10,440.83,1,0,1,0,2,1,0
41031,6,229.63,1,0,1,0,3,1,0
55519,1,766.19,1,1,3,1,3,0,0
41357,2,966.6,1,1,2,1,3,-1,0
8643,12,29.99,0,1,1,0,1,1,0
7073,7,268.01,1,0,2,0,1,0,0
2769,3,29.99,1,0,2,0,2,1,0
60150,9,574.9,0,1,1,1,2,-1,0
16741,10,29.99,0,1,2,1,1,1,0
57302,10,45.18,0,1,2,1,1,1,0
25004,5,45.83,0,1,1,1,1,-1,1
27954,4,310.89,1,1,3,0,3,0,1
40958,9,146.75,1,0,1,0,1,0,0
41029,10,55.18,0,1,1,0,2,1,0
27496,10,29.99,1,0,1,1,2,1,0
56570,1,162.22,1,0,1,1,1,-1,0
8912,1,1248.24,0,1,2,1,2,-1,0
6227,8,169.18,1,0,2,0,1,0,0
50503,1,917.26,1,1,1,1,2,-1,1
40129,12,657.42,0,1,3,1,1,1,0
1147,11,120.57,1,0,2,1,2,0,0
37021,10,48.11,1,0,2,0,2,1,0
