,customer_types
18848,2
54487,2
3256,2
24315,2
21260,2
12507,0
57274,2
33634,0
6632,2
63676,0
21015,3
11416,2
40121,0
2986,2
50326,2
40914,0
61255,0
29266,1
18536,0
7166,3
36118,1
32676,0
11133,2
41031,2
55519,0
41357,2
8643,2
7073,0
2769,2
60150,2
16741,2
57302,2
25004,3
27954,1
40958,0
41029,2
27496,2
56570,2
8912,2
6227,0
50503,3
40129,2
1147,0
37021,2
7849,2
40548,2
25661,0
42491,0
3859,2
302,2
31398,0
4242,2
4288,2
21653,3
19243,2
5091,2
26938,2
52163,2
979,3
12456,2
26774,3
34623,3
30959,1
10221,0
46774,3
7998,2
49277,0
36905,3
12159,2
50159,0
43145,3
44586,2
52182,0
46587,3
8845,2
24173,2
43504,3
36202,3
44116,2
52966,1
8586,3
63107,2
4144,2
31640,3
22363,2
59901,2
51370,0
2538,2
43401,0
44104,2
41687,3
59856,0
2011,0
2164,1
7973,3
44296,2
28396,1
42222,2
38716,1
51698,0
54900,3
15500,0
27488,2
44016,2
10204,2
26319,0
52553,2
5504,2
18328,0
41155,1
28310,0
31937,2
25428,0
13753,2
10487,2
62920,3
48094,2
9449,0
58175,2
38924,0
51162,0
25867,3
55298,0
47764,2
29831,2
43898,3
41994,0
32940,2
6966,1
11746,2
25743,2
12122,2
35861,2
4968,1
62943,0
59746,2
18630,2
61149,2
50101,2
59156,2
30234,2
31197,2
22235,2
33367,0
8538,0
62325,0
37479,2
44136,2
51083,2
7869,0
58300,3
9003,2
22565,0
46037,1
35846,0
44125,2
34261,2
57423,2
2472,0
61085,0
15861,0
35750,2
23818,2
51156,2
11603,0
60706,0
54176,0
32873,0
7832,2
56503,3
40924,2
10316,2
57122,2
13694,0
62793,0
35888,2
32116,2
27394,0
62060,2
5587,1
9535,2
25660,2
14125,2
48265,0
31147,2
15120,2
62874,0
51098,1
17720,2
26120,2
25032,0
50707,0
12393,0
31023,2
23708,2
55074,3
32752,0
57332,2
21205,2
15564,2
57467,2
11248,0
56227,3
13492,2
40587,0
27924,2
42198,3
39267,0
17550,2
8463,2
57168,3
2716,2
53683,2
36337,1
10241,2
20719,2
14579,0
34570,3
16496,2
24813,2
34571,1
54143,0
55615,2
37373,2
2306,2
36995,2
60027,0
13633,3
8202,3
51678,0
7616,3
51367,0
45806,0
28912,2
6693,2
56661,2
45380,0
54080,2
59905,2
55433,2
63959,2
14622,2
1078,1
9264,0
34685,2
47789,2
23723,0
52298,3
18304,2
33891,2
2097,2
23678,2
152,0
28075,0
59778,0
42385,0
5113,3
16449,0
29421,0
28096,2
7063,2
50511,0
60001,2
41401,2
8904,0
58589,2
