,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,customer_types,treat
0,10,142.44,1,0,1,0,2,1,0,2,1
1,6,329.08,1,1,3,1,1,0,0,0,0
2,7,180.65,0,1,1,1,1,1,0,2,1
3,9,675.83,1,0,3,1,1,-1,0,2,1
4,2,45.34,1,0,2,0,1,1,0,2,1
5,6,134.83,0,1,1,0,2,1,1,3,1
6,9,280.2,1,0,1,1,2,1,0,2,1
7,9,46.42,0,1,2,0,2,1,0,2,1
8,9,675.07,1,1,3,1,2,-1,0,2,1
9,10,32.84,0,1,2,1,1,1,0,2,1
10,7,548.91,0,1,2,1,2,1,1,3,1
11,1,211.45,0,1,2,1,2,1,0,2,1
12,5,642.9,0,1,1,1,3,1,0,2,1
13,2,101.64,0,1,2,0,1,-1,1,3,1
14,4,241.42,0,1,3,1,3,0,0,0,0
15,3,58.13,1,0,2,1,1,0,1,1,0
16,5,29.99,1,0,1,0,2,-1,0,2,1
17,9,112.35,1,0,3,0,1,-1,0,2,1
18,11,219.04,1,1,1,0,2,-1,0,2,1
19,5,828.42,1,0,1,1,3,-1,0,2,1
20,9,29.99,0,1,1,1,2,0,0,0,0
21,11,182.32,1,0,1,0,2,-1,0,2,1
22,2,118.4,1,0,1,0,1,-1,1,3,1
23,2,29.99,0,1,2,1,2,0,0,0,0
24,4,78.24,1,0,1,0,1,0,0,0,0
25,6,139.87,0,1,3,1,1,-1,0,2,1
26,12,115.39,0,1,1,0,2,-1,1,3,1
27,6,162.98,0,1,1,0,1,-1,0,2,1
28,7,435.73,0,1,2,1,1,0,0,0,0
29,2,203.35,1,0,3,0,1,0,0,0,0
30,2,237.53,0,1,1,0,2,1,0,2,1
31,9,334.24,1,0,2,0,1,-1,0,2,1
32,6,128.01,0,1,2,0,1,-1,0,2,1
33,9,29.99,1,0,1,1,2,-1,0,2,1
34,3,29.99,1,0,3,0,1,1,0,2,1
35,4,218.72,0,1,2,0,3,1,0,2,1
36,1,514.52,0,1,1,1,1,-1,0,2,1
37,4,766.47,1,1,2,1,3,-1,0,2,1
38,10,63.79,1,0,3,1,2,1,0,2,1
39,7,520.43,0,1,1,1,1,-1,0,2,1
40,11,236.97,1,1,2,1,2,-1,0,2,1
41,3,99.23,1,0,3,0,1,-1,1,3,1
42,9,204.18,0,1,1,0,1,1,0,2,1
43,2,492.02,1,0,1,0,2,0,0,0,0
44,1,48.32,0,1,2,0,1,0,0,0,0
45,10,29.99,1,0,1,0,2,0,0,0,0
46,2,391.33,1,0,1,0,1,0,0,0,0
47,1,729.7,1,1,1,1,1,-1,0,2,1
48,3,134.59,1,0,2,1,2,1,1,3,1
49,10,61.09,0,1,1,0,1,1,0,2,1
50,3,203.3,0,1,1,0,1,0,0,0,0
51,9,185.43,1,0,2,0,1,-1,0,2,1
52,7,29.99,0,1,2,1,2,-1,0,2,1
53,9,78.62,1,0,2,0,1,-1,0,2,1
54,12,150.06,0,1,1,0,2,0,0,0,0
55,6,42.66,1,0,1,0,1,0,0,0,0
56,12,69.08,0,1,3,0,2,1,0,2,1
57,3,549.29,1,0,1,1,3,0,0,0,0
58,9,506.83,1,0,3,1,3,-1,0,2,1
59,3,143.93,0,1,1,0,2,1,0,2,1
60,10,115.4,1,0,2,0,2,-1,0,2,1
61,2,96.91,1,0,1,0,2,1,0,2,1
62,6,40.07,1,0,1,1,2,-1,0,2,1
63,11,417.21,0,1,2,0,2,0,0,0,0
64,9,61.57,1,0,1,1,2,1,0,2,1
65,5,222.07,0,1,1,0,2,1,0,2,1
66,1,259.91,0,1,1,1,1,0,0,0,0
67,11,53.81,1,0,2,1,2,0,0,0,0
68,9,154.15,0,1,1,0,1,-1,0,2,1
69,10,1009.44,1,0,1,1,3,1,0,2,1
70,2,278.8,1,0,3,0,1,-1,0,2,1
71,10,31.12,1,0,2,0,2,1,0,2,1
72,2,428.74,1,0,3,0,2,-1,0,2,1
73,7,612.28,1,0,1,1,2,1,0,2,1
74,11,228.09,0,1,1,1,1,0,0,0,0
75,1,640.58,0,1,2,1,2,-1,0,2,1
76,4,194.11,1,0,2,0,2,0,0,0,0
77,7,84.49,0,1,2,1,1,0,0,0,0
78,7,235.14,0,1,2,1,2,-1,0,2,1
79,2,29.99,0,1,1,0,2,-1,0,2,1
80,7,272.32,1,0,1,1,1,-1,0,2,1
81,2,95.33,0,1,1,0,1,0,1,1,0
82,5,494.26,1,1,1,1,2,-1,0,2,1
83,2,809.07,1,0,2,1,2,-1,0,2,1
84,1,80.42,0,1,2,1,2,1,0,2,1
85,10,237.85,1,0,2,0,1,1,0,2,1
86,2,82.59,1,0,1,0,2,1,0,2,1
87,6,165.77,0,1,2,0,1,1,1,3,1
88,3,101.61,0,1,1,1,2,0,0,0,0
89,8,52.64,0,1,1,1,1,0,0,0,0
90,6,466.29,1,0,2,1,3,-1,0,2,1
91,3,100.85,1,0,2,1,2,-1,0,2,1
92,3,1397.57,1,0,1,1,3,-1,0,2,1
93,2,770.58,0,1,1,1,2,-1,0,2,1
94,3,1973.87,1,0,1,1,3,0,0,0,0
95,3,133.51,1,0,2,0,1,-1,0,2,1
96,8,31.52,0,1,1,0,1,-1,0,2,1
97,1,47.44,0,1,2,0,2,1,0,2,1
98,1,106.27,0,1,1,0,1,1,0,2,1
99,11,215.46,0,1,2,0,1,1,0,2,1
100,11,189.25,0,1,2,1,2,0,0,0,0
101,10,108.12,1,0,2,0,1,1,0,2,1
102,8,66.14,1,0,1,1,2,0,0,0,0
103,8,98.56,1,0,1,1,1,1,0,2,1
104,6,129.14,1,0,1,0,1,1,0,2,1
105,2,493.17,0,1,1,0,1,1,0,2,1
106,11,146.04,0,1,1,1,2,-1,0,2,1
107,12,29.99,0,1,2,1,1,0,0,0,0
108,2,66.6,1,0,2,1,2,1,0,2,1
109,12,129.73,1,0,1,0,1,1,0,2,1
110,4,54.41,0,1,2,1,2,1,0,2,1
111,9,1172.42,1,1,1,1,1,-1,0,2,1
112,5,244.34,0,1,2,1,1,-1,0,2,1
113,2,287.04,1,1,2,1,2,1,0,2,1
114,4,29.99,0,1,2,1,1,1,0,2,1
115,9,151.01,1,0,1,0,1,0,0,0,0
116,11,35.43,1,0,2,1,2,-1,0,2,1
117,5,84.17,1,0,2,1,1,1,0,2,1
118,3,313.6,0,1,1,0,2,0,0,0,0
119,1,117.27,0,1,3,0,2,-1,0,2,1
120,5,29.99,0,1,1,0,1,0,0,0,0
121,3,1167.93,1,1,3,1,1,1,0,2,1
122,3,683.2,1,1,3,1,3,0,0,0,0
123,1,110.07,0,1,2,0,1,-1,0,2,1
124,1,102.94,1,0,2,0,1,1,0,2,1
125,2,29.99,0,1,2,0,1,-1,0,2,1
126,11,160.04,1,0,3,0,1,-1,0,2,1
127,1,418.68,0,1,1,0,1,0,0,0,0
128,11,316.23,1,0,2,1,2,-1,0,2,1
129,12,253.06,0,1,1,0,2,1,0,2,1
130,9,329.96,0,1,1,1,2,0,0,0,0
131,7,185.73,1,0,1,0,2,-1,0,2,1
132,11,52.08,0,1,2,0,1,1,0,2,1
133,1,616.73,0,1,2,1,1,-1,0,2,1
134,9,123.39,1,0,2,0,2,1,0,2,1
135,3,249.71,1,0,1,0,2,0,0,0,0
136,2,46.09,0,1,2,0,1,0,0,0,0
137,8,48.87,1,0,1,1,1,-1,0,2,1
138,10,77.37,1,0,1,0,2,1,0,2,1
139,4,270.24,1,0,2,1,2,0,0,0,0
140,9,228.8,1,0,1,0,3,-1,1,3,1
141,3,80.18,0,1,2,0,2,1,0,2,1
142,11,131.76,0,1,1,1,1,1,1,3,1
143,9,162.59,0,1,2,0,2,-1,1,3,1
144,12,87.62,1,0,2,1,2,-1,0,2,1
145,3,29.99,1,0,1,0,2,-1,0,2,1
146,3,29.99,0,1,2,0,1,1,0,2,1
147,7,59.96,1,0,2,1,1,1,0,2,1
148,7,78.49,0,1,3,0,1,1,0,2,1
149,2,29.99,0,1,1,0,2,-1,0,2,1
150,7,206.8,1,0,1,0,2,1,0,2,1
151,7,229.53,1,0,1,0,1,-1,1,3,1
152,1,439.93,1,1,3,1,3,0,0,0,0
153,10,313.67,1,0,3,1,2,1,1,3,1
154,7,29.99,1,0,1,1,1,1,0,2,1
155,3,57.33,0,1,1,0,1,1,1,3,1
156,2,289.55,0,1,3,0,2,0,1,1,0
157,5,29.99,0,1,1,1,2,-1,1,3,1
158,9,274.29,1,0,1,0,1,0,0,0,0
159,1,293.37,1,0,1,0,2,0,0,0,0
160,12,29.99,1,0,2,1,2,0,0,0,0
161,1,407.09,1,0,1,0,1,0,0,0,0
162,1,142.4,0,1,1,0,2,0,0,0,0
163,1,29.99,0,1,2,1,1,-1,0,2,1
164,12,284.54,1,1,1,0,1,-1,0,2,1
165,2,60.2,0,1,1,1,1,0,0,0,0
166,4,1089.77,1,0,2,1,3,-1,0,2,1
167,7,29.99,1,0,1,1,1,1,0,2,1
168,1,747.31,0,1,3,1,1,1,0,2,1
169,6,136.63,1,0,2,1,1,1,0,2,1
170,10,29.99,1,0,3,1,1,1,0,2,1
171,11,54.11,1,0,2,1,1,1,0,2,1
172,1,790.36,1,1,2,1,3,-1,0,2,1
173,4,36.49,1,0,2,1,1,0,0,0,0
174,12,271.89,1,0,3,0,1,-1,0,2,1
175,5,399.46,1,0,1,0,1,1,0,2,1
176,3,39.83,0,1,2,1,2,-1,1,3,1
177,10,153.58,1,0,1,0,2,1,0,2,1
178,5,269.99,1,1,1,0,2,-1,0,2,1
179,2,29.99,1,0,2,1,1,1,0,2,1
180,4,292.61,1,0,1,0,3,0,0,0,0
181,2,576.02,0,1,1,1,1,1,0,2,1
182,6,29.99,1,0,1,0,1,0,0,0,0
183,9,116.3,1,0,3,1,1,-1,1,3,1
184,5,29.99,1,0,1,0,1,0,0,0,0
185,3,29.99,0,1,2,1,1,0,0,0,0
186,7,968.65,1,1,1,1,1,1,0,2,1
187,7,39.78,0,1,1,0,1,-1,0,2,1
188,9,311.81,1,0,2,0,3,1,1,3,1
189,1,720.17,1,1,2,1,2,-1,0,2,1
190,4,69.08,0,1,2,0,2,-1,0,2,1
191,12,80.56,1,0,2,0,1,1,0,2,1
192,1,301.19,1,0,1,1,1,0,0,0,0
193,10,307.64,0,1,2,0,3,-1,0,2,1
194,7,481.56,1,0,1,0,1,-1,0,2,1
195,10,29.99,0,1,1,0,1,0,0,0,0
196,1,895.43,0,1,1,1,1,1,0,2,1
197,5,425.1,1,0,3,1,2,-1,0,2,1
198,10,36.28,1,0,2,1,1,0,0,0,0
199,4,413.46,0,1,3,0,2,1,0,2,1
200,7,32.42,1,0,1,0,2,0,0,0,0
201,10,170.32,1,0,2,1,2,1,0,2,1
