channel,history,is_referral,recency,used_bogo,used_discount,zip_code,treat
1,622.85,1,3,1,1,1,0
3,418.31,0,3,1,0,3,0
1,386.94,0,10,1,1,1,0
2,184.64,0,7,0,1,3,0
1,235.1,0,1,1,1,3,0
2,120.38,0,4,0,1,2,0
2,105.25,0,4,0,1,3,0
1,182.3,1,11,1,0,1,0
2,751.37,1,10,1,1,2,0
2,249.23,0,2,1,1,1,0
2,435.99,1,2,1,0,2,0
2,70.19,0,6,0,1,1,0
1,187.45,1,10,0,1,1,0
2,29.99,0,7,0,1,1,0
1,266.89,0,6,1,0,1,0
2,29.99,0,3,1,0,2,0
1,122.55,1,12,0,1,2,0
2,161.75,0,9,0,1,2,0
2,29.99,1,1,1,0,3,0
1,407.85,1,4,1,0,2,0
1,29.99,0,3,0,1,1,0
2,359.71,0,5,1,0,2,0
2,29.99,1,9,1,0,1,0
2,716.9,1,6,1,1,1,0
2,141.6,0,2,1,0,2,0
3,545.73,1,5,0,1,1,0
1,332.65,1,10,1,0,1,0
1,59.32,1,7,1,0,3,0
2,213.69,1,8,1,0,2,0
3,593.23,1,6,0,1,1,0
2,29.99,1,12,1,0,3,0
2,29.99,1,2,1,0,2,0
3,1508.31,1,1,1,0,2,0
2,29.99,1,5,0,1,1,0
1,85.09,1,4,0,1,3,0
2,66.1,1,6,0,1,2,0
1,382.74,1,3,1,0,1,0
1,61.61,1,8,0,1,1,0
3,431.99,0,7,1,0,2,0
3,208.21,0,7,0,1,2,0
2,282.69,0,3,1,1,2,1
2,101.1,1,9,1,0,2,0
1,2859.63,1,1,1,1,2,0
2,258.66,0,1,1,0,1,0
1,167.28,0,7,0,1,3,0
2,329.43,0,5,1,0,3,0
2,142.0,1,1,0,1,1,1
1,50.67,0,7,1,0,1,0
1,142.94,0,8,0,1,3,0
1,223.47,0,6,0,1,3,0
2,533.9,1,4,1,0,2,0
1,217.68,0,12,1,0,2,0
1,107.41,1,7,0,1,2,1
2,182.4,0,5,0,1,1,0
1,989.59,1,1,0,1,3,0
2,67.46,1,5,1,0,2,0
2,50.62,0,7,1,0,2,0
2,144.98,0,1,1,0,1,0
3,633.77,1,6,0,1,2,0
3,424.82,0,4,1,0,1,0
1,29.99,1,5,0,1,3,0
1,360.69,0,2,1,0,1,1
1,77.99,1,2,0,1,1,0
1,31.02,0,11,1,0,3,0
2,283.61,1,10,1,1,1,0
3,584.36,1,4,0,1,2,0
1,111.54,0,2,1,0,2,0
2,95.84,0,7,1,0,1,0
1,86.43,1,2,0,1,3,0
2,103.99,0,9,0,1,2,0
1,223.64,1,7,1,1,1,0
1,29.99,1,2,0,1,1,0
1,96.66,0,9,0,1,3,0
2,95.29,0,1,0,1,1,0
2,71.1,0,6,1,0,2,1
2,213.74,0,2,0,1,1,0
2,139.88,1,6,1,0,3,0
2,227.44,1,9,1,1,2,0
2,44.83,1,1,0,1,3,0
1,269.84,0,5,1,0,2,1
1,215.58,0,6,1,0,1,0
1,447.02,0,6,1,0,2,0
2,116.88,0,2,0,1,1,0
2,31.34,0,6,0,1,1,0
2,76.85,0,4,0,1,1,0
2,29.99,0,7,0,1,2,0
2,45.19,0,9,1,0,1,0
1,212.69,0,7,1,1,3,0
2,849.8,1,7,0,1,2,0
1,31.0,0,5,1,0,1,0
1,95.86,0,5,1,0,3,1
1,29.99,1,5,0,1,1,0
1,38.28,1,12,0,1,2,0
2,175.92,1,11,1,0,2,0
2,117.74,0,4,0,1,1,1
2,44.98,1,10,0,1,2,0
2,47.28,0,1,1,0,2,0
1,70.44,1,5,1,0,1,0
2,189.28,1,5,0,1,3,0
2,147.52,1,10,0,1,3,0
1,160.92,0,4,1,0,1,0
2,81.47,1,8,1,0,3,0
3,321.68,0,6,1,1,1,0
1,234.03,0,9,1,1,2,0
1,275.25,0,3,1,0,1,0
2,29.99,1,1,1,0,2,0
2,453.5,1,8,0,1,2,0
1,508.35,1,10,1,0,1,0
3,812.14,1,1,1,1,1,0
2,29.99,0,5,0,1,2,0
3,255.5,0,2,0,1,1,0
2,147.23,0,2,0,1,1,0
3,218.05,0,2,0,1,3,0
2,143.43,0,9,1,0,2,0
1,99.44,0,1,0,1,1,0
2,170.84,1,10,0,1,1,0
1,482.8,0,3,1,0,1,0
2,258.84,0,7,0,1,1,0
1,301.59,0,6,1,0,2,1
2,253.78,1,6,1,0,3,0
1,52.56,0,5,1,0,3,1
1,31.96,0,4,1,0,1,0
1,112.38,1,9,1,0,1,0
1,108.68,0,1,1,0,2,0
1,29.99,1,3,1,0,2,0
1,190.81,1,9,1,0,1,0
2,55.98,0,10,1,0,2,0
2,702.36,1,6,1,0,2,0
