Unnamed: 0,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,customer_types,treat,treat
9866,6,350.94,1,0,1,0,3,0,0,0,0,0
55808,4,29.99,0,1,2,1,2,0,0,0,0,0
37052,1,43.03,1,0,1,0,2,0,0,0,0,0
58869,5,29.99,1,0,1,1,2,0,0,0,0,0
43432,12,77.89,0,1,2,0,1,0,1,1,0,0
9307,1,110.45,0,1,2,0,2,0,0,0,0,0
37094,9,74.47,1,0,2,0,1,0,0,0,0,0
26902,2,40.92,1,0,2,0,1,0,0,0,0,0
55344,5,65.63,1,0,1,1,2,0,0,0,0,0
47456,2,634.52,1,1,3,1,1,0,1,1,0,0
41578,10,67.49,0,1,1,1,1,0,0,0,0,0
39372,10,140.17,0,1,1,1,1,0,0,0,0,0
44186,5,97.45,0,1,2,0,1,0,0,0,0,0
50715,1,576.93,1,1,2,1,2,0,0,0,0,0
35184,12,55.52,0,1,2,0,1,0,0,0,0,0
6088,1,251.31,0,1,2,0,1,0,0,0,0,0
57635,12,128.95,0,1,2,0,1,0,0,0,0,0
20646,2,199.33,0,1,1,0,2,0,0,0,0,0
60839,9,38.23,1,0,2,1,1,0,0,0,0,0
51046,8,134.8,1,0,2,1,1,0,0,0,0,0
19817,1,235.14,1,0,1,0,1,0,1,1,0,0
47324,11,371.84,0,1,2,0,3,0,0,0,0,0
11732,7,424.3,1,1,1,0,2,0,0,0,0,0
27271,9,901.05,1,1,1,1,3,0,0,0,0,0
48799,12,149.17,0,1,2,1,1,0,0,0,0,0
49840,11,144.61,0,1,2,0,1,0,0,0,0,0
45354,4,142.57,0,1,2,0,1,0,0,0,0,0
26371,2,45.04,1,0,2,1,2,0,0,0,0,0
40040,3,316.01,1,1,1,0,1,0,0,0,0,0
6280,1,611.21,1,0,2,1,1,0,0,0,0,0
9298,4,128.17,1,0,3,1,2,0,0,0,0,0
46743,9,52.13,0,1,1,0,2,0,0,0,0,0
56165,1,218.12,0,1,2,1,1,0,0,0,0,0
60740,1,387.04,0,1,1,0,1,0,1,1,0,0
32668,10,140.79,1,0,1,0,2,0,0,0,0,0
33086,3,69.64,0,1,1,1,1,0,0,0,0,0
63542,9,81.74,1,0,1,0,1,0,0,0,0,0
21559,5,159.93,1,0,2,0,1,0,0,0,0,0
38793,1,314.02,1,1,1,0,3,0,1,1,0,0
1094,1,74.61,1,0,2,1,1,0,0,0,0,0
726,6,569.14,0,1,1,1,1,0,0,0,0,0
3278,5,451.42,1,1,2,0,2,0,0,0,0,0
