recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,customer_types,customer_types
3,547.86,0,1,2,1,3,1,0,2,2
6,171.21,0,1,2,0,1,-1,0,2,2
4,588.45,0,1,3,1,1,-1,0,2,2
9,29.99,1,0,1,1,2,-1,0,2,2
1,55.51,1,0,1,0,1,1,0,2,2
2,258.63,1,0,2,1,3,0,0,0,0
10,29.99,0,1,2,0,1,-1,0,2,2
5,357.55,1,0,2,0,2,0,0,0,0
9,129.57,1,0,3,1,2,1,0,2,2
1,29.99,1,0,3,1,1,0,0,0,0
9,104.84,0,1,2,0,1,-1,1,3,3
10,146.85,1,0,1,1,1,1,0,2,2
7,609.83,0,1,2,1,3,0,0,0,0
5,163.64,0,1,1,1,2,-1,0,2,2
11,98.07,1,0,1,1,2,1,0,2,2
6,182.62,1,0,2,1,1,0,0,0,0
5,54.85,1,0,2,1,1,0,0,0,0
6,309.53,1,1,2,0,2,0,1,1,1
3,29.99,0,1,2,0,2,0,0,0,0
4,391.95,1,0,1,0,1,1,1,3,3
1,260.39,1,1,2,0,2,0,1,1,1
7,67.52,0,1,3,0,1,0,0,0,0
10,440.83,1,0,1,0,2,1,0,2,2
6,229.63,1,0,1,0,3,1,0,2,2
1,766.19,1,1,3,1,3,0,0,0,0
2,966.6,1,1,2,1,3,-1,0,2,2
12,29.99,0,1,1,0,1,1,0,2,2
7,268.01,1,0,2,0,1,0,0,0,0
3,29.99,1,0,2,0,2,1,0,2,2
9,574.9,0,1,1,1,2,-1,0,2,2
10,29.99,0,1,2,1,1,1,0,2,2
10,45.18,0,1,2,1,1,1,0,2,2
5,45.83,0,1,1,1,1,-1,1,3,3
4,310.89,1,1,3,0,3,0,1,1,1
9,146.75,1,0,1,0,1,0,0,0,0
10,55.18,0,1,1,0,2,1,0,2,2
10,29.99,1,0,1,1,2,1,0,2,2
1,162.22,1,0,1,1,1,-1,0,2,2
1,1248.24,0,1,2,1,2,-1,0,2,2
8,169.18,1,0,2,0,1,0,0,0,0
1,917.26,1,1,1,1,2,-1,1,3,3
12,657.42,0,1,3,1,1,1,0,2,2
11,120.57,1,0,2,1,2,0,0,0,0
10,48.11,1,0,2,0,2,1,0,2,2
11,29.99,1,0,1,1,2,1,0,2,2
8,52.13,1,0,1,0,2,-1,0,2,2
12,198.69,1,0,1,0,2,0,0,0,0
3,332.5,1,1,2,0,3,0,0,0,0
10,29.99,1,0,1,1,2,1,0,2,2
1,59.13,1,0,2,1,1,-1,0,2,2
5,444.1,0,1,1,1,2,0,0,0,0
4,127.75,1,0,1,1,1,-1,0,2,2
10,29.99,0,1,2,0,1,-1,0,2,2
7,29.99,0,1,2,0,1,1,1,3,3
1,383.24,0,1,2,0,1,-1,0,2,2
7,349.93,1,1,2,1,2,1,0,2,2
1,610.89,1,0,2,1,3,-1,0,2,2
1,29.99,0,1,1,0,1,1,0,2,2
1,29.99,0,1,1,0,2,-1,1,3,3
5,254.14,0,1,1,1,3,-1,0,2,2
3,29.99,0,1,2,0,2,1,1,3,3
2,809.67,1,0,2,1,2,1,1,3,3
1,943.15,0,1,2,1,3,0,1,1,1
12,46.83,0,1,1,1,1,0,0,0,0
2,740.96,1,1,2,1,2,-1,1,3,3
8,130.79,1,0,1,1,1,-1,0,2,2
8,87.14,1,0,1,0,2,0,0,0,0
9,45.56,1,0,3,0,1,-1,1,3,3
10,298.67,1,0,1,1,2,1,0,2,2
2,57.57,1,0,2,0,1,0,0,0,0
7,251.25,0,1,1,1,1,1,1,3,3
10,229.98,1,0,2,0,1,1,0,2,2
11,252.63,1,0,2,0,3,0,0,0,0
11,136.57,1,0,3,0,2,-1,1,3,3
11,67.42,1,0,2,0,1,1,0,2,2
2,49.63,0,1,1,0,2,-1,0,2,2
10,395.73,1,1,1,1,3,1,1,3,3
10,102.32,0,1,1,0,1,1,1,3,3
1,29.99,1,0,1,0,1,1,0,2,2
2,407.91,1,1,1,0,1,0,1,1,1
7,131.08,0,1,2,0,1,1,1,3,3
11,622.07,0,1,3,1,3,-1,0,2,2
10,94.67,1,0,2,0,2,1,0,2,2
10,198.18,0,1,3,0,2,1,1,3,3
8,257.71,0,1,1,0,1,-1,0,2,2
1,211.86,0,1,1,1,2,1,0,2,2
8,177.29,1,0,1,0,2,0,0,0,0
1,29.99,0,1,2,0,1,1,0,2,2
2,29.99,0,1,2,1,2,0,0,0,0
4,238.94,1,0,2,1,1,-1,0,2,2
1,319.65,1,1,1,1,1,-1,1,3,3
2,138.76,0,1,2,1,2,0,0,0,0
10,29.99,0,1,1,1,1,0,0,0,0
10,195.26,1,0,2,0,1,0,1,1,1
10,158.52,0,1,1,1,1,-1,1,3,3
5,91.1,0,1,1,0,2,1,0,2,2
3,410.57,1,0,2,1,3,0,1,1,1
6,939.44,1,1,2,1,1,1,0,2,2
4,166.13,0,1,1,1,1,0,1,1,1
2,853.34,1,1,1,1,1,0,0,0,0
9,29.99,0,1,3,1,2,-1,1,3,3
4,147.2,1,0,3,1,1,0,0,0,0
9,185.15,0,1,2,0,1,-1,0,2,2
9,199.62,0,1,2,1,2,-1,0,2,2
9,124.46,0,1,1,1,1,-1,0,2,2
10,105.8,0,1,2,1,1,0,0,0,0
2,93.1,0,1,3,0,2,1,0,2,2
9,29.99,1,0,1,1,2,1,0,2,2
5,192.51,1,0,1,1,2,0,0,0,0
1,296.9,1,1,1,1,2,0,1,1,1
2,29.99,0,1,2,1,2,0,0,0,0
8,31.1,1,0,2,1,1,1,0,2,2
9,140.91,1,0,1,1,2,0,0,0,0
2,845.74,1,0,1,1,1,1,0,2,2
10,108.63,1,0,2,1,1,-1,0,2,2
5,81.48,1,0,3,0,1,1,1,3,3
10,49.59,1,0,3,0,2,-1,0,2,2
10,47.61,0,1,1,1,1,0,0,0,0
1,78.63,0,1,1,1,2,-1,0,2,2
1,617.18,0,1,2,1,2,0,0,0,0
1,248.08,1,1,2,0,1,0,0,0,0
2,914.07,1,1,1,1,2,-1,1,3,3
9,29.99,0,1,2,1,2,0,0,0,0
7,414.48,0,1,2,0,3,-1,0,2,2
10,504.22,1,0,2,1,3,1,0,2,2
8,71.79,0,1,1,0,2,1,1,3,3
10,73.27,0,1,1,1,1,0,0,0,0
2,237.96,1,0,2,0,2,-1,0,2,2
2,507.8,1,0,2,1,3,0,1,1,1
6,528.39,1,0,1,1,2,1,0,2,2
10,60.43,1,0,2,0,2,1,0,2,2
9,512.89,0,1,2,1,3,1,0,2,2
9,91.82,0,1,2,1,1,-1,0,2,2
8,393.64,0,1,1,1,1,0,1,1,1
4,365.24,0,1,2,0,2,0,0,0,0
1,671.91,0,1,1,1,3,1,0,2,2
11,192.11,0,1,2,0,1,1,0,2,2
7,120.07,0,1,3,1,1,1,0,2,2
7,72.17,1,0,2,0,1,-1,0,2,2
5,126.44,1,0,1,0,2,-1,0,2,2
3,34.43,1,0,2,0,2,1,0,2,2
10,145.54,1,0,3,1,1,1,0,2,2
8,191.14,0,1,3,0,2,-1,0,2,2
1,29.99,1,0,1,0,1,0,0,0,0
9,418.3,1,0,1,1,2,0,0,0,0
10,634.17,0,1,1,1,2,0,0,0,0
11,161.79,1,0,2,0,1,-1,0,2,2
9,124.81,0,1,2,1,2,-1,0,2,2
12,171.14,1,0,1,0,1,1,0,2,2
1,1198.46,1,0,1,1,3,0,0,0,0
6,148.34,1,0,3,1,1,-1,1,3,3
