iter	MultiClass
0	1.203883807
1	1.073648889
2	0.9743936944
3	0.8956708129
4	0.8310906857
5	0.7773166153
6	0.7321521218
7	0.6940458341
8	0.6610200926
9	0.6327543123
10	0.6075749323
11	0.58555593
12	0.5663151105
13	0.5494737688
14	0.5342779829
15	0.5209944598
16	0.5087965174
17	0.4980795437
18	0.4887751394
19	0.4802065786
20	0.4722959491
21	0.4655455598
22	0.4594848092
23	0.4538401471
24	0.4488567414
25	0.4443896453
26	0.4402810372
27	0.4365823643
28	0.4331291198
29	0.4301099242
30	0.4272420418
31	0.4246484272
32	0.4223922594
33	0.4203034989
34	0.4182385539
35	0.4165321222
36	0.4148080106
37	0.4132946562
38	0.4120142114
39	0.4114425367
40	0.4111019353
41	0.4099754012
42	0.4088988138
43	0.4079174496
44	0.4071008343
45	0.4067483523
46	0.4063149243
47	0.4059538576
48	0.4055626019
49	0.4047961069
50	0.4045884719
51	0.4039770876
52	0.4033652803
53	0.403267758
54	0.4030083253
55	0.4027784583
56	0.402474903
57	0.4022554913
58	0.4020204456
59	0.4017561518
60	0.4016178778
61	0.4014057488
62	0.4011656965
63	0.401128766
64	0.4009653691
65	0.4005207682
66	0.4002939799
67	0.400099902
68	0.3999426324
69	0.3998770833
70	0.3996798125
71	0.3995190027
72	0.3994671892
73	0.3993395975
74	0.3991532305
75	0.3989787597
76	0.3987942516
77	0.3986611726
78	0.3985289936
79	0.3984637031
80	0.3982913445
81	0.3981093148
82	0.3977445443
83	0.3976187386
84	0.397481654
85	0.3973836415
86	0.3972348908
87	0.3971205709
88	0.3970617027
89	0.3969215833
90	0.396837379
91	0.3967381291
92	0.3966586547
93	0.3965613283
94	0.3964301379
95	0.396349429
96	0.3961914865
97	0.3960927521
98	0.3958662976
99	0.3958174114
100	0.3956964733
101	0.3956137493
102	0.3955058032
103	0.3954057496
104	0.3952505135
105	0.395123882
106	0.3950465326
107	0.3949444874
108	0.3948284662
109	0.3947381281
110	0.3946454293
111	0.39454494
112	0.394492894
113	0.3943968079
114	0.3942694935
115	0.3941499446
116	0.3940275874
117	0.3939129662
118	0.3938150192
119	0.3937247133
120	0.3936400315
121	0.3935404097
122	0.3934084975
123	0.3933201811
124	0.3932429046
125	0.3931464104
126	0.3930460198
127	0.3929471883
128	0.3928824894
129	0.3928133161
130	0.3927475087
131	0.3926727001
132	0.392593609
133	0.3924699469
134	0.3924070487
135	0.3923334989
136	0.3922244959
137	0.3921558082
138	0.3920578387
139	0.3919826057
140	0.3919076645
141	0.3918200653
142	0.3917486761
143	0.3916662293
144	0.3915869095
145	0.39147926
146	0.3913844844
147	0.3913209097
148	0.3912366394
149	0.3911721027
150	0.3910894463
151	0.3910200275
152	0.3909564292
153	0.3909137622
154	0.3908230967
155	0.39076652
156	0.3906408438
157	0.390554734
158	0.3904919781
159	0.3904362368
160	0.3903882631
161	0.3903156713
162	0.3902711606
163	0.3901869029
164	0.3901067543
165	0.3900415256
166	0.3899548088
167	0.389914444
168	0.3898617495
169	0.3898222595
170	0.3897623613
171	0.3897079402
172	0.3896585259
173	0.3895763917
174	0.3895128437
175	0.389461659
176	0.389381902
177	0.3893211511
178	0.3892299978
179	0.3891634349
180	0.3890913671
181	0.3890431961
182	0.3889535856
183	0.3889047484
184	0.3888532023
185	0.3887953322
186	0.3886736429
187	0.388605848
188	0.3885658526
189	0.3885239966
190	0.3884410157
191	0.3883973137
192	0.3883474365
193	0.3882833774
194	0.3882020968
195	0.3881704615
196	0.388105381
197	0.3880242467
198	0.3879648553
199	0.3879091825
200	0.3878457355
201	0.3877647473
202	0.3877272906
203	0.3876649161
204	0.3876486183
205	0.3876141074
206	0.3875502902
207	0.3874708444
208	0.387429775
209	0.3873653252
210	0.3873040887
211	0.3872598737
212	0.3872171513
213	0.3871590292
214	0.3871154038
215	0.387059513
216	0.386994853
217	0.38692387
218	0.3868909954
219	0.3868474459
220	0.3867645832
221	0.3866960753
222	0.3866521087
223	0.386624878
224	0.3865664944
225	0.3865161631
226	0.3864464406
227	0.3863837574
228	0.386345743
229	0.3862751504
230	0.3862227792
231	0.3861597981
232	0.3861121269
233	0.3860539184
234	0.3859786011
235	0.3859298421
236	0.3859030921
237	0.3858561929
238	0.385821618
239	0.3857626064
240	0.3857070893
241	0.3856447072
242	0.3856038861
243	0.3855316892
244	0.3854632829
245	0.3854159513
246	0.3853560573
247	0.3853071142
248	0.3852358684
249	0.3852074214
250	0.3851548201
251	0.3850889468
252	0.3850063256
253	0.3849790821
254	0.3849163642
255	0.3848405611
256	0.3847854918
257	0.3847371914
258	0.3847055743
259	0.3846776766
260	0.3846434064
261	0.3846009936
262	0.3845696708
263	0.3845094151
264	0.3844719522
265	0.3844213629
266	0.3843751807
267	0.3843303156
268	0.3842807313
269	0.3842220733
270	0.3842000753
271	0.3841654314
272	0.3841297204
273	0.3840604273
274	0.3840260386
275	0.3839902538
276	0.3839071277
277	0.3838652264
278	0.3838014697
279	0.3837768413
280	0.3837320991
281	0.383700845
282	0.3836458342
283	0.3836025177
284	0.3835643497
285	0.3835043642
286	0.3834630817
287	0.3834343378
288	0.3833610288
289	0.3833164067
290	0.3832571199
291	0.3832261436
292	0.3831782499
293	0.3831271214
294	0.3830723506
295	0.3829448255
296	0.3828959415
297	0.3828478369
298	0.3828212776
299	0.3827778566
300	0.3827461775
301	0.382704828
302	0.3826730388
303	0.3826333789
304	0.3825895566
305	0.3825490694
306	0.3824911558
307	0.3824427749
308	0.382401741
309	0.3823850586
310	0.3823244693
311	0.382287051
312	0.3822011378
313	0.3821641124
314	0.3821345365
315	0.3820663447
316	0.3820421279
317	0.3820031651
318	0.3819780402
319	0.3819110558
320	0.3818595373
321	0.3817748837
322	0.381706854
323	0.3816801743
324	0.3816146168
325	0.3815880628
326	0.3815606659
327	0.381539448
328	0.3814815044
329	0.3814070977
330	0.3813669252
331	0.3813144993
332	0.3812357312
333	0.3811891634
334	0.3811331867
335	0.3811013346
336	0.3810608412
337	0.381013815
338	0.3809680296
339	0.3809315686
340	0.3808979562
341	0.3808647421
342	0.3807835405
343	0.3807295836
344	0.3806693851
345	0.3806056854
346	0.3805466765
347	0.3804903859
348	0.3804570056
349	0.3804167954
350	0.3803918861
351	0.3803628511
352	0.3802819688
353	0.3802397204
354	0.3801867301
355	0.3801311415
356	0.3800898581
357	0.3800430268
358	0.3800222517
359	0.379982134
360	0.3799608345
361	0.3799373982
362	0.3799026962
363	0.3798640885
364	0.3798044994
365	0.3797799577
366	0.3797225975
367	0.3796757762
368	0.3796439717
369	0.3795812253
370	0.379549809
371	0.3795284093
372	0.3794627631
373	0.3794291729
374	0.3793915502
375	0.3793314886
376	0.3793158159
377	0.3792493429
378	0.3792076053
379	0.3791552028
380	0.3791127671
381	0.3790675738
382	0.3790223626
383	0.3789830921
384	0.3789608345
385	0.3789146619
386	0.378868503
387	0.3788406646
388	0.3788101179
389	0.3787581944
390	0.3786852372
391	0.3785979204
392	0.3785603874
393	0.3785300224
394	0.3785084283
395	0.3784665577
396	0.3784392093
397	0.3783990959
398	0.3783578078
399	0.3783265805
400	0.3782938823
401	0.3782639041
402	0.3782281519
403	0.3781828982
404	0.3781565762
405	0.3781102882
406	0.3780810621
407	0.3780535452
408	0.377976807
409	0.3779433695
410	0.3779114136
411	0.3778650641
412	0.3778454985
413	0.3777903353
414	0.3777659722
415	0.3776765615
416	0.377647856
417	0.3776002935
418	0.3775580417
419	0.3775305743
420	0.3775090864
421	0.3774852456
422	0.3774336644
423	0.3774080517
424	0.3773803272
425	0.3773283592
426	0.3773046467
427	0.3772743599
428	0.3772315713
429	0.3771908381
430	0.3771372562
431	0.3771033375
432	0.3770573982
433	0.3770440341
434	0.3769910485
435	0.3769539042
436	0.3769305608
437	0.3768811258
438	0.3768395781
439	0.3767812655
440	0.3767209704
441	0.3766829775
442	0.3766581491
443	0.37661433
444	0.3765850726
445	0.3765628889
446	0.376545092
447	0.3765147953
448	0.3764982395
449	0.3764685568
450	0.3764517265
451	0.3764332814
452	0.3763834652
453	0.37635531
454	0.3763202901
455	0.3762697128
456	0.3762566847
457	0.3762382577
458	0.3762005222
459	0.3761765057
460	0.376137123
461	0.3761195123
462	0.3760688401
463	0.3760053824
464	0.3759487639
465	0.3759037001
466	0.3758881647
467	0.3758649117
468	0.3758268297
469	0.3757936134
470	0.3757672664
471	0.3757216735
472	0.3756947219
473	0.3756681321
474	0.3756335703
475	0.3755933248
476	0.3755593195
477	0.3755043292
478	0.3754838663
479	0.3754449729
480	0.3754294251
481	0.375408545
482	0.375368097
483	0.3753462449
484	0.3753270017
485	0.3753104729
486	0.3752720284
487	0.3752532712
488	0.3752315543
489	0.3752051334
490	0.3751692479
491	0.3751338017
492	0.3751054105
493	0.3750778244
