iter	Passed	Remaining
0	3	3607
1	7	3664
2	12	4140
3	16	4187
4	21	4270
5	26	4362
6	31	4451
7	35	4405
8	40	4454
9	44	4379
10	49	4422
11	54	4452
12	59	4525
13	64	4544
14	69	4562
15	74	4584
16	79	4599
17	84	4636
18	90	4677
19	96	4706
20	100	4696
21	105	4689
22	109	4638
23	114	4641
24	119	4644
25	124	4648
26	128	4618
27	133	4620
28	138	4626
29	143	4649
30	148	4645
31	153	4650
32	158	4655
33	163	4653
34	168	4656
35	174	4664
36	179	4675
37	184	4672
38	189	4671
39	194	4678
40	199	4671
41	204	4666
42	209	4664
43	214	4656
44	219	4649
45	223	4644
46	228	4635
47	233	4627
48	238	4636
49	243	4625
50	247	4599
51	252	4596
52	256	4589
53	261	4577
54	266	4571
55	270	4565
56	275	4561
57	281	4571
58	286	4566
59	291	4571
60	296	4565
61	301	4559
62	306	4556
63	309	4528
64	313	4512
65	318	4506
66	323	4501
67	328	4504
68	333	4496
69	337	4488
70	342	4485
71	348	4487
72	352	4481
73	357	4477
74	362	4469
75	367	4468
76	372	4463
77	377	4458
78	381	4452
79	387	4452
80	392	4453
81	397	4448
82	400	4428
83	405	4424
84	410	4419
85	413	4399
86	418	4393
87	423	4386
88	428	4382
89	433	4379
90	438	4375
91	442	4369
92	447	4363
93	452	4356
94	456	4352
95	461	4345
96	466	4338
97	470	4333
98	475	4328
99	480	4321
100	484	4315
101	489	4313
102	494	4310
103	499	4306
104	504	4304
105	509	4298
106	514	4291
107	519	4288
108	523	4282
109	528	4277
110	533	4271
111	538	4268
112	542	4262
113	547	4256
114	552	4253
115	557	4248
116	562	4242
117	567	4239
118	572	4236
119	576	4227
120	580	4220
121	586	4217
122	591	4219
123	596	4213
124	601	4209
125	606	4203
126	610	4200
127	616	4198
128	620	4191
129	625	4185
130	630	4180
131	634	4173
132	639	4170
133	644	4163
134	648	4157
135	653	4153
136	658	4148
137	663	4143
138	668	4138
139	673	4135
140	679	4137
141	684	4135
142	689	4134
143	694	4128
144	699	4123
145	704	4120
146	708	4112
